cust_id,gender,age,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,StreamingTV,StreamingMovies,Contract,MonthlyCharges,TotalCharges,Churn
7590,Female,60,1,No,No phone service,DSL,No,Yes,No,No,No,Month-to-month,29.85,29.85,No
5575,Male,52,34,Yes,No,DSL,Yes,No,Yes,No,No,One year,56.95,1889.5,No
3668,Male,48,2,Yes,No,DSL,Yes,Yes,No,No,No,Month-to-month,53.85,108.15,Yes
7795,Male,41,45,No,No phone service,DSL,Yes,No,Yes,No,No,One year,42.3,1840.75,No
9237,Female,56,2,Yes,No,Fiber optic,No,No,No,No,No,Month-to-month,70.7,151.65,Yes
9305,Female,30,8,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Month-to-month,99.65,820.5,Yes
1452,Male,17,22,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Month-to-month,89.1,1949.4,No
6713,Female,32,10,No,No phone service,DSL,Yes,No,No,No,No,Month-to-month,29.75,301.9,No
7892,Female,23,28,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Month-to-month,104.8,3046.05,Yes
6388,Male,40,62,Yes,No,DSL,Yes,Yes,No,No,No,One year,56.15,3487.95,No
9763,Male,41,13,Yes,No,DSL,Yes,No,No,No,No,Month-to-month,49.95,587.45,No
7469,Male,36,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,18.95,326.8,No
8091,Male,56,58,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,One year,100.35,5681.1,No
280,Male,57,49,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Month-to-month,103.7,5036.3,Yes
5129,Male,63,25,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Month-to-month,105.5,2686.05,No
3655,Female,36,69,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Two year,113.25,7895.15,No
8191,Female,35,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,One year,20.65,1022.95,No
9959,Male,67,71,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Two year,106.7,7382.25,No
4190,Female,18,10,Yes,No,DSL,No,No,Yes,No,No,Month-to-month,55.2,528.35,Yes
4183,Female,48,21,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Month-to-month,90.05,1862.9,No
8779,Male,23,1,No,No phone service,DSL,No,No,Yes,No,Yes,Month-to-month,39.65,39.65,Yes
1680,Male,20,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,One year,19.8,202.25,No
1066,Male,67,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,20.15,20.15,Yes
3638,Female,59,58,Yes,Yes,DSL,No,Yes,No,No,No,Two year,59.9,3505.1,No
6322,Male,34,49,Yes,No,DSL,Yes,Yes,No,No,No,Month-to-month,59.6,2970.3,No
6865,Female,39,30,Yes,No,DSL,Yes,Yes,No,No,No,Month-to-month,55.3,1530.6,No
